t,x,y,z,vx,vy,vz
0,7000,0,0,0,7.54605,0
10,6999.59,75.4591,0,-0.0813455,7.54561,0
20,6998.37,150.909,0,-0.162681,7.5443,0
30,6996.34,226.342,0,-0.243999,7.54211,0
40,6993.9,330.07,0,-0.355797,7.53948,0
50,6990.23,433.768,0,-0.467537,7.53552,0
60,6985.32,537.428,0,-0.579183,7.53024,0
70,6979.06,641.044,0,-0.690682,7.5235,0
80,6971.24,744.587,0,-0.801997,7.51509,0
90,6961.88,848.038,0,-0.913098,7.50504,0
100,6950.99,951.377,0,-1.02396,7.49335,0
110,6938.58,1054.58,0,-1.13456,7.48003,0
120,6924.64,1157.62,0,-1.24487,7.46509,0
130,6909.17,1260.48,0,-1.35488,7.44852,0
140,6892.2,1363.14,0,-1.46454,7.43034,0
150,6873.7,1465.58,0,-1.57385,7.41055,0
160,6853.71,1567.76,0,-1.68278,7.38916,0
170,6832.2,1669.68,0,-1.7913,7.36618,0
180,6809.2,1771.3,0,-1.89939,7.34161,0
190,6784.71,1872.61,0,-2.00703,7.31546,0
200,6758.73,1973.58,0,-2.11419,7.28774,0
210,6731.27,2074.2,0,-2.22085,7.25846,0
220,6702.33,2174.43,0,-2.32699,7.22762,0
230,6671.93,2274.27,0,-2.43258,7.19524,0
240,6640.07,2373.68,0,-2.5376,7.16133,0
250,6606.75,2472.65,0,-2.64203,7.12589,0
260,6572,2571.16,0,-2.74585,7.08894,0
270,6535.8,2669.18,0,-2.84902,7.05048,0
280,6498.18,2766.7,0,-2.95154,7.01054,0
290,6459.13,2863.68,0,-3.05337,6.96911,0
300,6418.68,2960.13,0,-3.1545,6.92622,0
310,6376.83,3056,0,-3.2549,6.88187,0
320,6333.58,3151.28,0,-3.35456,6.83608,0
330,6288.95,3245.96,0,-3.45344,6.78885,0
340,6242.95,3340.01,0,-3.55154,6.74021,0
350,6195.59,3433.41,0,-3.64882,6.69017,0
360,6146.89,3526.15,0,-3.74527,6.63874,0
370,6096.84,3618.19,0,-3.84086,6.58593,0
380,6045.46,3709.54,0,-3.93558,6.53177,0
390,5992.77,3800.16,0,-4.02941,6.47626,0
400,5938.78,3890.03,0,-4.12232,6.41943,0
410,5883.5,3979.14,0,-4.2143,6.36128,0
420,5826.93,4067.48,0,-4.30532,6.30183,0
430,5769.11,4155.02,0,-4.39538,6.2411,0
440,5710.02,4241.74,0,-4.48444,6.17912,0
450,5649.7,4327.62,0,-4.57249,6.11588,0
460,5588.16,4412.66,0,-4.65951,6.05142,0
470,5525.4,4496.83,0,-4.74549,5.98575,0
480,5461.44,4580.11,0,-4.83041,5.91889,0
490,5396.3,4662.5,0,-4.91424,5.85085,0
500,5329.99,4743.96,0,-4.99697,5.78166,0
510,5262.53,4824.49,0,-5.0786,5.71133,0
520,5193.93,4904.07,0,-5.15909,5.63988,0
530,5124.2,4982.69,0,-5.23843,5.56734,0
540,5053.37,5060.32,0,-5.31661,5.49373,0
550,4981.44,5136.96,0,-5.39362,5.41905,0
560,4908.44,5212.59,0,-5.46943,5.34334,0
570,4834.38,5287.19,0,-5.54403,5.26662,0
580,4759.27,5360.75,0,-5.61742,5.1889,0
590,4683.14,5433.26,0,-5.68957,5.11021,0
600,4605.99,5504.7,0,-5.76047,5.03056,0
610,4527.86,5575.07,0,-5.83012,4.94999,0
620,4448.74,5644.33,0,-5.89848,4.86851,0
630,4368.67,5712.49,0,-5.96557,4.78614,0
640,4287.65,5779.53,0,-6.03136,4.7029,0
650,4205.72,5845.44,0,-6.09583,4.61883,0
660,4122.87,5910.21,0,-6.159,4.53393,0
670,4039.14,5973.82,0,-6.22083,4.44824,0
680,3954.53,6036.27,0,-6.28132,4.36178,0
690,3869.08,6097.54,0,-6.34046,4.27456,0
700,3782.79,6157.62,0,-6.39825,4.18662,0
710,3695.69,6216.5,0,-6.45467,4.09797,0
720,3607.79,6274.17,0,-6.50971,4.00864,0
730,3519.11,6330.63,0,-6.56337,3.91866,0
740,3429.67,6385.86,0,-6.61564,3.82804,0
750,3339.5,6439.85,0,-6.66652,3.73681,0
760,3248.6,6492.6,0,-6.71599,3.645,0
770,3157.01,6544.09,0,-6.76405,3.55262,0
780,3064.73,6594.32,0,-6.8107,3.4597,0
790,2971.79,6643.28,0,-6.85593,3.36627,0
800,2878.2,6690.97,0,-6.89974,3.27235,0
810,2783.99,6737.37,0,-6.94211,3.17797,0
820,2689.18,6782.48,0,-6.98306,3.08314,0
830,2593.78,6826.3,0,-7.02257,2.98789,0
840,2497.82,6868.81,0,-7.06064,2.89224,0
850,2401.31,6910.01,0,-7.09727,2.79623,0
860,2304.28,6949.89,0,-7.13246,2.69987,0
870,2206.75,6988.46,0,-7.1662,2.60319,0
880,2108.72,7025.7,0,-7.1985,2.50621,0
890,2010.23,7061.62,0,-7.22936,2.40895,0
900,1911.3,7096.2,0,-7.25876,2.31144,0
910,1811.94,7129.44,0,-7.28673,2.21371,0
920,1712.17,7161.35,0,-7.31325,2.11577,0
930,1612.02,7191.91,0,-7.33833,2.01765,0
940,1511.5,7221.12,0,-7.36196,1.91937,0
950,1410.63,7248.99,0,-7.38416,1.82096,0
960,1309.44,7275.5,0,-7.40492,1.72244,0
970,1207.94,7300.66,0,-7.42424,1.62384,0
980,1106.15,7324.47,0,-7.44214,1.52516,0
990,1004.1,7346.92,0,-7.45861,1.42645,0
1000,901.792,7368.01,0,-7.47365,1.32771,0
1010,799.261,7387.75,0,-7.48728,1.22898,0
1020,696.521,7406.13,0,-7.4995,1.13028,0
1030,593.592,7423.15,0,-7.5103,1.03162,0
1040,490.494,7438.82,0,-7.51971,0.93303,0
1050,387.245,7453.12,0,-7.52771,0.834532,0
1060,283.865,7466.08,0,-7.53433,0.736146,0
1070,180.373,7477.67,0,-7.53957,0.637894,0
1080,76.7878,7487.92,0,-7.54343,0.539796,0
1090,-26.8707,7496.81,0,-7.54592,0.441873,0
1100,-130.584,7504.36,0,-7.54705,0.344147,0
1110,-234.333,7510.56,0,-7.54683,0.246636,0
1120,-338.1,7515.41,0,-7.54526,0.149362,0
1130,-441.865,7518.93,0,-7.54236,0.0523443,0
1140,-545.611,7521.1,0,-7.53814,-0.0443982,0
1150,-649.318,7521.95,0,-7.5326,-0.140846,0
1160,-752.969,7521.46,0,-7.52575,-0.23698,0
1170,-856.545,7519.64,0,-7.51761,-0.332781,0
1180,-960.029,7516.5,0,-7.50818,-0.428231,0
1190,-1063.4,7512.05,0,-7.49747,-0.523311,0
1200,-1166.65,7506.28,0,-7.4855,-0.618005,0
1210,-1269.75,7499.21,0,-7.47228,-0.712294,0
1220,-1372.68,7490.83,0,-7.45782,-0.806161,0
1230,-1475.44,7481.15,0,-7.44212,-0.899589,0
1240,-1578,7470.19,0,-7.42521,-0.992561,0
1250,-1680.35,7457.94,0,-7.40709,-1.08506,0
1260,-1782.46,7444.41,0,-7.38778,-1.17707,0
1270,-1884.33,7429.6,0,-7.36728,-1.26858,0
1280,-1985.93,7413.53,0,-7.34562,-1.35957,0
1290,-2087.25,7396.21,0,-7.3228,-1.45003,0
1300,-2188.28,7377.63,0,-7.29884,-1.53993,0
1310,-2288.99,7357.81,0,-7.27375,-1.62927,0
1320,-2389.38,7336.75,0,-7.24755,-1.71804,0
1330,-2489.42,7314.46,0,-7.22024,-1.80621,0
1340,-2589.1,7290.95,0,-7.19184,-1.89378,0
1350,-2688.41,7266.22,0,-7.16237,-1.98073,0
1360,-2787.33,7240.29,0,-7.13184,-2.06704,0
1370,-2885.85,7213.17,0,-7.10027,-2.15272,0
1380,-2983.95,7184.86,0,-7.06766,-2.23774,0
1390,-3081.61,7155.37,0,-7.03404,-2.32209,0
1400,-3178.83,7124.71,0,-6.99941,-2.40576,0
1410,-3275.59,7092.89,0,-6.9638,-2.48874,0
1420,-3371.87,7059.91,0,-6.92721,-2.57102,0
1430,-3467.66,7025.8,0,-6.88967,-2.65258,0
1440,-3562.96,6990.55,0,-6.85118,-2.73343,0
1450,-3657.73,6954.18,0,-6.81176,-2.81354,0
1460,-3751.98,6916.7,0,-6.77143,-2.89291,0
1470,-3845.69,6878.12,0,-6.7302,-2.97153,0
1480,-3938.85,6838.44,0,-6.68809,-3.04939,0
1490,-4031.43,6797.68,0,-6.64511,-3.12649,0
1500,-4123.45,6755.85,0,-6.60128,-3.2028,0
1510,-4214.87,6712.96,0,-6.55661,-3.27833,0
1520,-4305.69,6669.02,0,-6.51112,-3.35307,0
1530,-4395.89,6624.04,0,-6.46482,-3.42701,0
1540,-4485.48,6578.03,0,-6.41773,-3.50014,0
1550,-4574.42,6531.01,0,-6.36987,-3.57245,0
1560,-4662.72,6482.97,0,-6.32124,-3.64395,0
1570,-4750.37,6433.94,0,-6.27187,-3.71462,0
1580,-4837.34,6383.93,0,-6.22177,-3.78446,0
1590,-4923.64,6332.95,0,-6.17095,-3.85346,0
1600,-5009.25,6281,0,-6.11944,-3.92162,0
1610,-5094.16,6228.1,0,-6.06724,-3.98892,0
1620,-5178.37,6174.27,0,-6.01437,-4.05538,0
